,day-1-E1-21-UVC,day-1-E1-22-UVC,day-1-E1-23-UVC,day-1-E1-24-UVC,day-1-E1-25-UVC,day-1-E1-26-UVC,day-1-E1-27-UVC,day-1-E1-28-UVC,day-1-E1-29-UVC,day-1-E1-30-UVC,day-1-E1-32-UTA,day-1-E1-33-UTA,day-1-E1-35-UTA,day-1-E1-36-UTA,day-1-E1-37-UTA,day-1-E1-38-UTA,day-1-E1-40-UTA,day118-E1-01-UV,day118-E1-02-UV,day118-E1-03-UV,day118-E1-04-UV,day118-E1-05-UV,day118-E1-07-UV,day118-E1-08-UV,day118-E1-09-UV,day118-E1-10-UV,day118-E1-11-UV,day118-E1-12-UV,day118-E1-13-UV,day118-E1-14-UV,day118-E1-15-UV,day118-E1-16-UV,day118-E1-17-UV,day118-E1-18-UV,day118-E1-19-UV,day118-E1-20-UV,day118-E1-21-UVC,day118-E1-22-UVC,day118-E1-23-UVC,day118-E1-24-UVC,day118-E1-25-UVC,day118-E1-26-UVC,day118-E1-27-UVC,day118-E1-28-UVC,day118-E1-29-UVC,day118-E1-30-UVC,day118-E1-31-UTA,day118-E1-32-UTA,day118-E1-33-UTA,day118-E1-34-UTA,day118-E1-35-UTA,day118-E1-36-UTA,day118-E1-37-UTA,day118-E1-38-UTA,day118-E1-39-UTA,day118-E1-40-UTA,day118-E1-41-V,day118-E1-42-V,day118-E1-43-V,day118-E1-45-V,day118-E1-46-V,day118-E1-47-V,day118-E1-48-V,day118-E1-50-V,day118-E1-51-V,day118-E1-52-V,day118-E1-53-V,day118-E1-54-V,day118-E1-55-V,day118-E1-56-V,day118-E1-57-V,day118-E1-58-V,day118-E1-61-VC,day118-E1-62-VC,day118-E1-63-VC,day118-E1-64-VC,day118-E1-65-VC,day118-E1-66-VC,day118-E1-67-VC,day118-E1-69-VC,day118-E1-70-VC,day118-E1-71-VC,day118-E1-72-VC,day14-E2-01-UV,day14-E2-02-UV,day14-E2-03-UV,day14-E2-04-UV,day14-E2-05-UV,day14-E2-06-UV,day14-E2-07-UV,day14-E2-08-UV,day14-E2-09-UV,day14-E2-10-UV,day14-E2-11-UV,day14-E2-12-UV,day14-E2-13-UV,day14-E2-14-UV,day14-E2-15-UV,day14-E2-16-UV,day14-E2-19-UV,day14-E2-20-UV,day14-E2-21-UVC,day14-E2-24-UVC,day14-E2-26-UVC,day14-E2-27-UVC,day14-E2-28-UVC,day14-E2-29-UVC,day14-E2-30-UVC,day14-E2-32-UVC,day14-E2-33-UTA,day14-E2-34-UTA,day14-E2-35-UTA,day14-E2-38-UTA,day14-E2-40-UTA,day14-E2-42-V,day14-E2-44-V,day14-E2-45-V,day14-E2-46-V,day14-E2-47-V,day14-E2-48-V,day14-E2-49-V,day14-E2-50-V,day14-E2-52-V,day14-E2-53-V,day14-E2-54-V,day14-E2-55-V,day14-E2-56-V,day14-E2-57-V,day14-E2-58-V,day14-E2-59-V,day14-E2-60-V,day14-E2-62-VC,day14-E2-64-VC,day14-E2-65-VC,day14-E2-66-VC,day14-E2-67-VC,day14-E2-71-VC,day14-E2-72-V,day29-E2-01-UV,day29-E2-04-UV,day29-E2-05-UV,day29-E2-06-UV,day29-E2-07-UV,day29-E2-08-UV,day29-E2-09-UV,day29-E2-10-UV,day29-E2-11-UV,day29-E2-12-UV,day29-E2-13-UV,day29-E2-14-UV,day29-E2-15-UV,day29-E2-16-UV,day29-E2-17-UV,day29-E2-18-UV,day29-E2-19-UV,day29-E2-20-UV,day29-E2-21-UVC,day29-E2-22-UVC,day29-E2-25-UVC,day29-E2-26-UVC,day29-E2-27-UVC,day29-E2-28-UVC,day29-E2-29-UVC,day29-E2-30-UVC,day29-E2-31-UTA,day29-E2-32-UTA,day29-E2-33-UTA,day29-E2-34-UTA,day29-E2-35-UTA,day29-E2-36-UTA,day29-E2-37-UTA,day29-E2-38-UTA,day29-E2-39-UTA,day29-E2-40-UTA,day29-E2-42-V,day29-E2-44-V,day29-E2-46-V,day29-E2-48-V,day29-E2-49-V,day29-E2-50-V,day29-E2-51-V,day29-E2-53-V,day29-E2-54-V,day29-E2-55-V,day29-E2-56-V,day29-E2-57-V,day29-E2-58-V,day29-E2-59-V,day29-E2-60-V,day29-E2-61-VC,day29-E2-62-VC,day29-E2-64-VC,day29-E2-65-VC,day29-E2-66-VC,day29-E2-69-VC,day29-E2-70-VC,day29-E2-71-VC,day29-E2-72-V,day46-E1-21-UVC,day46-E1-22-UVC,day46-E1-23-UVC,day46-E1-24-UVC,day46-E1-26-UVC,day46-E1-28-UVC,day46-E1-29-UVC,day46-E1-31-UTA,day46-E1-32-UTA,day46-E1-33-UTA,day46-E1-34-UTA,day46-E1-35-UTA,day46-E1-36-UTA,day46-E1-37-UTA,day46-E1-39-UTA,day46-E1-40-UTA
ASV76,48,82,72,83,187,47,0,10,0,18,110,261,21,207,0,55,81,65,165,88,67,32,1000,194,139,99,27,65,377,138,5,181,104,64,49,10,461,0,76,65,71,110,48,285,9,50,356,330,194,14,22,120,50,182,192,226,102,119,0,827,0,98,0,18,65,28,302,25,87,175,178,0,145,8,119,25,72,40,30,44,20,0,0,104,47,110,228,72,52,148,19,15,14,72,64,82,123,0,1188,52,19,167,73,62,211,571,10,1276,35,86,56,25,270,185,55,0,32,0,241,246,19,20,145,36,7,588,147,29,0,38,115,0,109,50,0,28,94,7,9,217,464,193,126,23,39,194,127,79,136,0,23,48,23,43,518,0,13,90,114,202,88,41,16,148,277,0,0,8,0,21,168,11,149,0,33,21,0,74,71,9,29,152,129,145,30,0,0,159,12,207,0,44,0,116,34,0,0,134,14,0,0,0,219,16,14,103,0,65,19,13,129,181,318,82
ASV77,12,80,549,61,24,0,823,0,0,443,24,1145,0,110,0,551,0,23,19,42,18,0,8,9,0,17,0,55,172,9,11,0,58,17,9,141,30,0,57,35,0,25,63,59,9,0,26,155,186,14,317,19,16,86,21,101,0,0,0,0,26,1748,0,175,97,56,276,27,28,71,456,22,74,25,10,8,118,24,84,35,621,450,0,6,0,0,106,0,13,0,0,0,0,54,0,60,74,0,9,0,267,0,227,21,24,42,0,11,169,35,0,135,252,34,0,0,0,0,111,0,0,134,0,37,0,69,22,0,0,10,20,14,25,78,44,7,93,0,12,0,15,0,24,73,0,433,3250,188,35,13,542,102,0,16,766,47,0,137,52,343,105,0,15,0,39,0,0,11,46,0,39,30,0,0,0,149,0,0,355,170,0,32,510,16,0,0,496,333,305,0,57,0,0,0,0,0,0,88,62,0,291,0,1092,0,21,126,0,161,9,94,12,33,38,9
ASV79,0,0,0,0,0,0,0,0,28,14,0,0,0,39,0,21,0,0,51,0,0,0,0,36,0,21,0,0,0,37,16,0,89,17,0,0,27,0,0,0,0,0,0,0,0,0,0,15,0,0,28,0,9,23,0,0,0,0,0,0,0,52,0,0,0,0,0,30,0,0,0,23,38,32,0,0,0,0,0,0,19,0,0,26,834,161,750,186,72,26,42,418,431,844,447,42,961,43,28,79,88,55,351,469,109,116,117,55,132,48,256,1341,871,111,1099,0,14,1964,43,707,2384,931,23,28,115,158,34,315,2030,37,156,362,713,112,97,130,57,0,0,16,30,0,24,37,0,23,29,271,85,0,23,0,0,0,0,23,0,0,0,46,0,11,0,0,0,0,0,7,0,0,15,67,0,0,18,171,12,0,0,26,0,19,0,0,0,0,0,17,57,0,27,21,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
ASV80,284,715,0,297,314,27,604,112,11,152,0,1684,0,149,0,179,612,0,287,0,42,85,0,179,373,0,6,0,161,476,52,0,0,0,0,0,455,0,246,117,273,47,882,357,62,0,0,0,298,0,0,351,199,237,587,386,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,1029,557,0,0,17,69,0,48,0,23,1171,4,0,0,0,391,140,30,410,263,28,0,81,438,0,0,442,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,188,91,0,0,267,30,0,111,0,0,74,63,0,0,0,0,0,74,0,323,165,681,97,183,0,0,0,17,0,0,54,275,149,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,847,0,0,995,115,10,18
ASV83,43,18,30,21,1,18,39,0,0,25,5,55,5,20,0,4,17,37,66,41,22,45,32,29,18,18,100,84,595,46,274,37,65,34,13,69,117,0,314,38,43,627,71,261,491,333,92,90,118,64,56,20,30,13,19,53,6,0,0,74,43,173,71,299,114,17,45,43,12,15,41,79,99,23,11,24,137,17,28,69,189,343,454,29,0,19,104,51,16,14,4,5,0,444,232,602,100,14,29,9,55,55,41,78,8,230,53,363,104,121,33,6,29,22,33,0,33,0,26,0,2,97,7,36,0,65,8,2,74,13,5,0,3,52,13,9,21,87,21,70,40,107,56,30,686,22,615,59,789,231,70,340,76,38,109,6,215,51,42,309,36,492,60,611,12,0,0,78,7,13,33,11,48,0,89,25,0,45,1584,37,40,1081,44,137,21,0,104,163,41,24,0,0,12,4,18,5,34,1097,50,0,570,0,283,37,168,26,0,97,48,17,107,34,18,44
ASV85,0,0,0,0,12,0,0,10,0,0,41,0,17,0,0,0,0,843,101,746,24,1270,4919,0,276,6,0,682,8,25,4203,45,437,31,0,0,43,0,104,31,0,1168,0,0,67,393,0,10,56,0,0,0,0,43,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,178,109,0,422,0,348,0,0,5,0,2359,0,131,45,95,0,0,647,5,9,4,0,33,204,0,95,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,54,0,0,0,54,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV86,6,8,86,46,0,0,5,5,17,9,20,14,6,23,0,149,10,23,116,12,355,10,61,103,242,162,36,310,82,341,44,55,52,523,25,16,215,0,863,20,188,71,162,263,31,40,626,240,70,99,39,43,67,148,47,64,8,23,0,314,66,34,107,17,23,9,24,47,14,13,99,32,59,280,20,66,40,8,65,74,17,48,69,34,34,79,406,10,16,53,27,75,12,118,136,30,367,24,0,26,19,51,27,42,248,76,9,51,895,33,135,0,104,65,28,0,30,62,0,36,21,27,0,0,0,208,8,24,46,31,40,27,31,46,0,62,36,55,172,58,364,67,201,46,836,57,545,800,331,474,181,60,24,46,174,46,33,71,147,79,110,44,14,53,65,0,5,124,0,9,0,75,82,0,4,603,11,8,336,35,46,46,33,1129,0,0,35,42,32,109,13,10,0,0,9,5,0,169,124,0,141,3,67,13,12,155,0,11,16,0,22,0,38,10
ASV87,0,0,0,0,0,0,0,0,80,32,0,0,137,0,0,0,0,0,68,32,31,129,155,115,91,63,583,0,0,887,113,135,33,427,1344,73,159,0,0,381,41,165,0,1665,350,160,0,0,81,244,1295,72,31,29,31,77,0,76,0,32,0,68,0,479,80,59,0,439,0,0,0,326,68,197,26,26,0,533,414,1165,526,40,208,13,27,0,89,0,0,0,33,39,121,210,0,0,34,0,0,0,68,0,57,324,0,0,102,0,96,0,90,340,215,0,75,0,0,176,48,46,29,188,0,0,168,55,0,0,148,0,0,160,143,0,110,91,31,0,0,0,34,10,0,0,0,54,292,547,99,0,136,0,0,0,197,33,0,0,36,0,0,0,0,0,0,0,0,0,0,8,0,69,0,0,0,0,0,0,0,36,0,36,0,176,0,0,233,149,134,0,32,39,0,0,36,0,0,0,10,0,33,6,173,0,34,0,0,0,0,0,18,14,0,0
ASV89,7,0,0,109,0,0,0,0,0,0,43,172,4,104,0,5,11,0,157,26,47,0,698,135,88,266,8,215,0,122,187,25,139,5,77,0,7,0,17,0,83,58,124,1984,139,69,96,1978,647,133,0,86,42,70,88,45,53,0,0,0,0,2699,0,63,0,0,0,19,29,593,12,0,0,0,0,0,0,18,9,39,0,0,0,0,0,0,217,0,0,73,0,0,30,0,0,0,148,0,312,0,0,91,24,32,120,226,560,1263,0,0,85,173,122,10,107,0,0,0,270,29,0,14,4,0,42,174,0,14,0,65,0,0,0,0,41,30,0,0,0,23,0,12,0,15,0,417,643,0,0,73,57,0,0,0,0,0,39,54,50,194,97,0,151,103,166,0,0,490,38,46,147,22,0,0,0,0,0,0,57,0,0,184,348,0,0,0,10,20,65,263,0,0,5,0,30,0,0,16,0,5,0,4,21,17,0,0,0,0,0,0,13,0,36,0
ASV91,248,57,50,55,180,49,260,19,0,91,117,69,0,9,0,49,39,0,0,14,0,0,0,0,0,0,20,20,119,0,35,0,0,17,0,15,26,0,415,0,23,14,26,32,7,9,168,55,18,0,0,8,0,63,24,56,0,0,0,0,13,26,0,26,66,0,0,35,59,22,27,69,15,51,27,0,0,21,7,0,55,6,0,0,0,34,0,16,24,18,0,0,0,36,24,50,9,15,26,0,21,0,10,14,0,65,0,23,321,9,282,0,51,20,24,0,0,0,24,46,65,18,0,5,0,590,35,40,55,26,19,0,0,0,0,8,14,0,0,16,96,465,470,132,2971,36,290,753,518,161,416,1531,166,146,47,10,0,58,43,75,31,12,0,13,169,0,0,90,0,0,23,4,12,0,716,31,14,353,1762,0,832,463,170,127,47,0,75,57,0,0,12,0,0,30,8,0,0,0,12,0,13,0,100,9,55,83,0,27,31,0,32,55,14,21
